"","承办单位名称","n","rate"
"1","市交通委",23,0.782608695652174
"2","市公安局",22,0.545454545454545
"3","市卫生健康委",17,0.529411764705882
"4","市教委",16,0.875
"5","申通公司",7,0.714285714285714
"6","市民政局",6,0.666666666666667
"7","市妇联",5,1
"8","市绿化市容局",5,0.8
"9","市发展改革委",4,0.75
"10","市妇儿工委",4,0
"11","市商务委（市口岸办）",4,0.75
"12","浦东新区政府",3,1
"13","市残联",3,1
"14","市经济信息化委",3,1
"15","市人力资源社会保障局",3,1
"16","市市场监督管理局",3,0.666666666666667
"17","市委政法委（市委综治委）",3,0.666666666666667
"18","市文化旅游局",3,1
"19","市文明办",3,0
"20","崇明区政府",2,1
"21","上海机场（集团）公司",2,1
"22","上海铁路局",2,1
"23","市房屋管理局",2,1
"24","市规划资源局",2,1
"25","市科委",2,1
"26","市农业农村委",2,1
"27","市应急局",2,1
"28","市住房城乡建设管理委",2,0.5
"29","长宁区政府",2,0.5
"30","地产集团公司",1,0
"31","光明集团",1,1
"32","国税总局上海市税务局",1,0
"33","嘉定区政府",1,0
"34","金山区政府",1,1
"35","静安区政府",1,0
"36","申康中心",1,1
"37","市爱卫会",1,1
"38","市检察院",1,1
"39","市生态环境局",1,1
"40","市体育局",1,1
"41","市委、市政府信访办",1,0
"42","市委宣传部（市新闻出版局、市版权局、市电影局）",1,1
"43","市政府办公厅",1,0
"44","市政府发展研究中心",1,0
"45","松江区政府",1,1
"46","团市委",1,1
